Game_Date,Release_Speed,Release_Point_X,Release_Point_Z,Horizontal_Movement,Vertical_Movement,Inning,Velocity_X,Velocity_Y,Velocity_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Perceived_Speed,Release_Spin_Rate,Release_Extension,Release_Point_Y,Plate_Appearance,Pitch_Per_PA,Pitch_Name,Pitch_Per_Game,Days_Between_Starts
2015-04-12,98.5,2.7865,4.9946,1.3423833333333333,1.0757666666666663,2.0,-11.269,-142.939,-2.082,21.551,37.668,-19.645,97.64399999999999,2403.0,6.352,54.1469,14.0,4.0,Sinker,23.0,4.0
2015-04-12,89.2,3.1858,4.5408,1.9060083333333333,0.5139,2.0,-8.115,-129.58,-5.221,24.718000000000004,28.614,-28.396,88.855,2360.0,6.353,54.1457,14.0,5.0,Changeup,24.0,4.0
2015-04-12,98.3,2.7347,5.1322,1.3326416666666667,1.275,2.0,-11.884,-142.588,-2.807,21.685,32.062,-16.624000000000002,98.037,2365.0,6.318,54.1804,14.0,6.0,Sinker,25.0,4.0
2015-04-12,96.3,2.9591,4.8916,1.6374166666666667,0.5483,2.0,-9.71,-139.787,-3.549,24.836,34.992,-27.344,95.805,2147.0,6.374,54.1242,14.0,7.0,Sinker,26.0,4.0
2015-04-12,97.0,2.8323,4.8499,1.4133583333333333,1.0112666666666663,2.0,-9.102,-140.929,-1.6569999999999998,22.236,33.046,-20.754,96.926,2272.0,6.417000000000001,54.0811,14.0,8.0,Sinker,27.0,4.0
2015-04-12,91.6,2.975,4.8739,1.68195,0.9797333333333332,3.0,-12.78,-132.77200000000002,-3.573,22.823,33.184,-22.56,90.311,2100.0,6.151,54.3478,20.0,1.0,Sinker,28.0,4.0
2015-04-12,94.4,2.8667,5.125,1.4662416666666669,1.6820666666666668,3.0,-12.078,-136.773,-4.946000000000001,21.339000000000002,35.284,-12.872,93.507,2357.0,6.44,54.0588,20.0,2.0,Sinker,29.0,4.0
2015-04-12,81.6,2.929,5.0106,-0.4528666666666666,-0.05083333333333332,3.0,-4.542,-118.694,0.6829999999999999,-3.281,24.7,-34.579,80.509,1143.0,5.745,54.7537,20.0,3.0,Slider,30.0,4.0
2015-04-12,96.4,2.9763,5.0233,1.502425,1.0198666666666665,3.0,-8.599,-140.094,-2.289,23.250999999999998,32.43,-20.755,96.46799999999999,2152.0,6.5329999999999995,53.9659,21.0,1.0,Sinker,31.0,4.0
2015-04-12,90.1,2.9311,4.7217,1.7014333333333331,0.6128,3.0,-13.452,-130.575,-3.885,21.976999999999997,35.965,-27.285,88.96700000000001,2100.0,6.502000000000001,53.9966,21.0,2.0,Sinker,32.0,4.0
2015-04-12,97.7,2.7815,4.9547,1.6805583333333332,1.3380666666666667,3.0,-10.765999999999998,-141.799,-4.253,26.230999999999998,35.404,-16.086,96.846,2423.0,6.202999999999999,54.2952,21.0,3.0,Sinker,33.0,4.0
2015-04-12,97.0,2.8796,5.1048,1.4091833333333332,1.5358666666666667,3.0,-13.142999999999999,-140.585,-0.653,21.697,37.724000000000004,-13.822000000000001,96.17200000000001,2360.0,6.546,53.9525,22.0,1.0,Sinker,34.0,4.0
2015-04-12,85.9,3.049,4.9489,1.9909,0.9195333333333332,3.0,-12.213,-124.538,-2.97,23.583000000000002,28.373,-24.322,85.32,2107.0,6.432,54.0669,22.0,2.0,Changeup,35.0,4.0
2015-04-12,97.0,2.9023,4.8941,1.6569,1.0686,3.0,-10.602,-140.776,-4.663,24.916,41.698,-20.347,95.59,2454.0,6.359,54.1397,22.0,3.0,Sinker,36.0,4.0
2015-04-12,86.4,3.2303,4.5719,1.8058083333333328,0.9654,3.0,-10.158999999999999,-125.454,-1.2,21.605,31.4,-23.801,85.199,2131.0,6.245,54.2532,23.0,1.0,Changeup,37.0,4.0
2015-04-12,86.3,3.1169,4.5827,1.73205,1.0184333333333333,3.0,-10.715,-125.226,-1.7180000000000002,20.557,32.885,-23.331999999999997,85.03,2175.0,6.382000000000001,54.1162,23.0,2.0,Changeup,38.0,4.0
2015-04-12,98.2,2.9475,4.925,1.652725,1.2492,3.0,-14.022,-142.22799999999998,-6.226,25.846,37.282,-17.344,96.851,2405.0,6.132999999999999,54.3659,23.0,3.0,Sinker,39.0,4.0
2015-04-12,86.3,3.1794,4.6243,1.7932833333333331,0.7762,3.0,-11.31,-125.105,-4.166,21.712,27.228,-25.776,85.615,2174.0,6.289,54.2098,23.0,4.0,Changeup,40.0,4.0
2015-04-12,97.1,2.7632,4.9253,1.2922833333333332,1.1288,3.0,-10.084,-141.002,0.017,20.368,35.034,-19.18,96.766,2396.0,6.439,54.0594,23.0,5.0,Sinker,41.0,4.0
2015-04-12,93.6,3.2624,4.9756,1.3841333333333332,0.6529333333333333,3.0,-6.827000000000001,-136.121,-3.055,20.427,29.596999999999998,-26.163,93.561,2100.0,6.27,54.2289,24.0,1.0,Sinker,42.0,4.0
2015-04-12,98.2,2.9494,5.1306,1.3075916666666667,1.0370666666666664,3.0,-11.842,-142.506,-2.8360000000000003,21.16,33.866,-20.125,97.584,2431.0,6.205,54.2931,24.0,2.0,Sinker,43.0,4.0
2015-04-12,80.8,2.9915,4.9871,-0.9789166666666664,-0.09956666666666664,3.0,-7.279,-117.447,-0.045,-8.388,25.548000000000002,-34.979,79.774,2292.0,5.982,54.5166,24.0,3.0,Slider,44.0,4.0
2015-04-12,81.8,3.0694,4.9886,-0.401375,0.0194,3.0,-7.149,-118.83200000000001,-1.5290000000000001,-2.8160000000000003,21.177,-33.922,80.99,2355.0,5.727,54.7711,24.0,4.0,Slider,45.0,4.0
2015-04-12,98.1,2.7886,4.9707,1.7640583333333333,1.1804,3.0,-14.679,-142.049,-3.135,27.627,34.49,-18.213,97.66799999999999,2447.0,6.433,54.0654,24.0,5.0,Sinker,46.0,4.0
2015-04-12,96.3,3.1432,4.7536,1.4592833333333333,1.5186666666666668,3.0,-9.488,-139.798,-5.572,22.342,34.902,-14.104000000000001,95.95700000000001,2357.0,6.483,54.0159,24.0,6.0,Sinker,47.0,4.0
2015-04-12,84.6,3.1696,4.7612,1.3702166666666669,0.6486333333333332,4.0,-7.572,-122.99600000000001,-1.032,16.699,21.849,-27.249000000000002,84.415,2135.0,6.0489999999999995,54.4491,29.0,1.0,Changeup,48.0,4.0
2015-04-12,96.3,2.8446,5.103,1.6290666666666669,1.3882333333333332,4.0,-9.863,-139.681,-7.435,25.066,30.29,-15.648,96.40899999999999,2390.0,6.486000000000001,54.0123,29.0,2.0,Sinker,49.0,4.0
2015-04-12,96.6,2.8717,4.9272,1.051525,1.0729,4.0,-9.592,-140.393,-1.2930000000000001,16.777,34.658,-20.057000000000002,96.18700000000001,2392.0,6.3660000000000005,54.1326,29.0,3.0,Sinker,50.0,4.0
2015-04-12,97.6,2.8361,4.9712,1.4676333333333331,0.9840333333333332,4.0,-12.802999999999999,-141.55700000000002,-0.7809999999999999,23.136,34.344,-21.074,97.27799999999999,2293.0,6.385,54.1134,29.0,4.0,Sinker,51.0,4.0
2015-04-12,82.0,2.8684,5.0321,-0.3206583333333333,0.2946,4.0,-5.075,-119.274,-1.531,-1.9580000000000002,25.291,-31.156,81.013,2154.0,5.854,54.644,29.0,5.0,Slider,52.0,4.0
2015-04-12,79.0,2.9894,4.9046,-0.9204666666666668,-0.09956666666666664,4.0,-4.797,-114.999,-0.9520000000000001,-7.475,24.6,-34.851,77.771,2252.0,5.724,54.7745,30.0,1.0,Slider,53.0,4.0
2015-04-12,86.2,3.0647,4.5838,1.583141666666667,0.5941666666666666,4.0,-8.511000000000001,-125.245,-1.453,19.25,29.011,-27.794,85.791,2111.0,6.455,54.0432,30.0,2.0,Changeup,54.0,4.0
2015-04-12,97.4,2.8871,4.995,1.811375,1.199033333333333,4.0,-10.279000000000002,-141.515,-0.6809999999999999,27.634,39.268,-18.284000000000002,96.101,2403.0,6.146,54.3526,30.0,3.0,Sinker,55.0,4.0
2015-04-12,86.1,2.8128,4.7819,2.095275,0.5139,4.0,-8.952,-125.046,0.513,24.916999999999998,28.878,-28.679000000000002,85.53200000000001,2281.0,6.372000000000001,54.1262,31.0,1.0,Changeup,56.0,4.0
2015-04-12,92.1,2.787,5.048,0.98055,1.1202,5.0,-10.940999999999999,-133.737,-4.242,14.323,31.215,-20.581,91.50200000000001,2072.0,6.25,54.2486,35.0,1.0,Sinker,57.0,4.0
2015-04-12,84.0,3.043,4.8905,1.5845333333333331,0.9123666666666664,5.0,-9.953,-121.811,-6.252000000000001,18.191,27.738000000000003,-24.761,82.68,2112.0,5.957999999999999,54.5403,35.0,2.0,Changeup,58.0,4.0
2015-04-12,86.4,3.0302,4.925,1.7584916666666668,0.8163333333333331,5.0,-10.739,-125.26700000000001,-3.438,21.519000000000002,25.77,-25.279,85.811,1986.0,6.2139999999999995,54.2848,35.0,3.0,Changeup,59.0,4.0
2015-04-12,81.5,2.7454,5.0375,-0.45565,-0.21853333333333327,5.0,-8.267000000000001,-118.369,-2.15,-3.216,28.765,-36.118,79.574,2188.0,5.667999999999999,54.8302,35.0,4.0,Slider,60.0,4.0
2015-04-12,92.4,2.8426,4.9304,1.23105,1.4484333333333332,5.0,-12.786,-133.849,-5.744,17.771,28.394000000000002,-16.279,92.069,2257.0,6.377999999999999,54.1202,35.0,5.0,Sinker,61.0,4.0
2015-04-12,92.4,3.0245,4.7464,1.8419916666666667,1.5487666666666668,5.0,-11.436,-134.16299999999998,-2.4619999999999997,25.493000000000002,32.619,-15.17,91.428,2250.0,6.199,54.2999,35.0,6.0,Sinker,62.0,4.0
2015-04-12,85.9,2.8326,4.756,1.519125,0.3963666666666665,5.0,-10.352,-124.65899999999999,0.14400000000000002,18.476,27.177,-29.96,85.75299999999999,1993.0,6.561,53.9373,35.0,7.0,Changeup,63.0,4.0
2015-04-12,84.8,2.9728,4.7896,2.0062083333333334,0.7188666666666667,5.0,-11.218,-122.99,-3.248,23.401,25.526999999999997,-26.581,84.478,2124.0,6.376,54.1227,35.0,8.0,Changeup,64.0,4.0
2015-04-12,91.2,2.9098,4.7923,1.752925,0.7991333333333331,5.0,-8.567,-132.605,-0.809,23.848000000000003,30.94,-24.729,91.21,1983.0,6.565,53.9338,36.0,1.0,Sinker,65.0,4.0
2015-04-12,95.2,2.6972,4.9235,1.4718083333333332,0.9926333333333331,5.0,-11.618,-138.058,-0.637,21.989,33.576,-21.541999999999998,94.846,2324.0,6.577999999999999,53.9203,36.0,2.0,Sinker,66.0,4.0
2015-04-12,95.5,2.9493,5.0921,1.4328416666666668,1.250633333333333,5.0,-12.68,-138.395,-0.436,21.43,35.5,-18.117,94.463,2300.0,6.268,54.2306,36.0,3.0,Sinker,67.0,4.0
2015-04-12,89.8,2.9174,4.9543,1.961675,1.1847,5.0,-12.455,-130.084,-4.995,24.734,37.334,-20.8,88.15799999999999,2170.0,6.361000000000001,54.1379,36.0,4.0,Sinker,68.0,4.0
