Game_Date,Release_Speed,Release_Point_X,Release_Point_Z,Horizontal_Movement,Vertical_Movement,Inning,Velocity_X,Velocity_Y,Velocity_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Perceived_Speed,Release_Spin_Rate,Release_Extension,Release_Point_Y,Plate_Appearance,Pitch_Per_PA,Pitch_Name,Pitch_Per_Game
2017-04-05,86.3,3.3792,5.1215,1.6732,0.8297,2,-10.4507,-125.0629,-2.6721,19.5602,27.9626,-23.2912,85.175,2100.0,6.037999999999999,54.4622,9,6,Changeup,31
2017-04-05,88.7,3.3142,5.2212,1.5423,0.382,2,-7.8654,-128.7823,-3.1943,18.5268,27.2321,-27.5649,87.8,1914.0,5.89,54.61,10,1,Changeup,32
2017-04-05,83.4,3.2974,5.1311,1.6808,0.8459,2,-9.1871,-121.0821,-1.6748,18.3522,25.9255,-23.8072,82.90899999999999,2128.0,6.31,54.1901,10,2,Changeup,33
2017-04-05,92.6,3.1657,5.2552,1.1901,0.9863,2,-12.9122,-134.076,-3.5594,17.1526,30.8361,-19.8401,91.66799999999999,2215.0,6.151,54.3493,10,3,4-Seam Fastball,34
2017-04-05,80.0,3.3742,5.2755,-0.9008,-0.0231,2,-4.6045,-116.2048,-0.3838,-6.9501,24.0177,-32.5745,78.601,2244.0,5.641,54.858999999999995,10,4,Slider,35
2017-04-05,96.0,3.3651,5.3127,1.1356,1.4163,2,-9.1525,-139.303,-0.4769,16.7886,34.9988,-14.2414,94.822,2352.0,6.03,54.4695,10,5,4-Seam Fastball,36
2017-04-05,90.6,3.1417,5.4042,1.1799,1.0557,3,-14.2507,-131.0339,-4.556,16.538,28.5601,-19.398,89.59899999999999,2124.0,6.084,54.4157,14,1,4-Seam Fastball,37
2017-04-05,91.9,3.3178,5.4535,1.5096,0.5755,3,-11.2324,-133.1107,-4.8501,20.0999,29.5242,-24.6327,90.679,2099.0,5.88,54.6202,14,2,Sinker,38
2017-04-05,94.3,3.2879,5.3961,1.6175,0.7462,3,-11.4673,-136.7358,-5.6523,22.9289,31.3923,-21.7309,94.094,2096.0,6.457999999999999,54.0419,14,3,Sinker,39
2017-04-05,84.4,3.3514,5.256,1.5471,0.9359,3,-9.6345,-122.537,-1.3426,17.4048,25.0714,-22.796,83.87799999999999,1920.0,6.152,54.3477,14,4,Changeup,40
2017-04-05,94.9,3.2621,5.5689,1.0862,1.3604,3,-11.1144,-137.6454,-3.1471,16.2828,31.9517,-14.5122,94.32700000000001,2192.0,6.2379999999999995,54.2616,15,1,4-Seam Fastball,41
2017-04-05,79.8,3.2738,5.388,-1.1672,-0.4099,3,-9.5661,-115.6892,-0.6339,-8.1629,24.5601,-35.8924,78.431,2312.0,5.85,54.6503,15,2,Slider,42
2017-04-05,84.3,3.4381,5.0992,1.4114,0.3931,3,-9.9824,-122.2308,-2.4677,16.0601,26.7693,-28.0255,83.23200000000001,1981.0,6.034,54.4659,15,3,Changeup,43
2017-04-05,81.6,3.2279,5.3568,-0.7986,-0.3296,3,-7.3123,-118.3179,-1.0218,-5.4762,27.677,-35.2115,79.569,2296.0,5.601,54.8992,15,4,Slider,44
2017-04-05,85.8,3.3022,5.1441,1.5964,0.7643,3,-11.5925,-124.2859,-1.6069,18.8627,27.1362,-24.2475,84.925,2017.0,6.1770000000000005,54.3227,16,1,Changeup,45
2017-04-05,92.2,3.2249,5.1402,1.6643,0.5975,3,-9.1153,-133.7877,-2.1585,21.833000000000002,31.8603,-24.8515,91.25399999999999,1945.0,6.11,54.3896,16,2,Sinker,46
2017-04-05,91.8,3.2001,5.341,1.3682,1.188,3,-10.2957,-133.1538,-3.5146,18.658,34.3429,-17.6321,90.78299999999999,2157.0,6.313,54.187,16,3,4-Seam Fastball,47
2017-04-05,96.3,3.2347,5.3669,1.4272,1.198,3,-11.6581,-139.6896,-2.7939999999999996,21.6,35.1925,-16.0306,96.04299999999999,2293.0,6.587000000000001,53.9132,16,4,4-Seam Fastball,48
2017-04-05,88.1,3.347,4.9679,1.837,0.3677,3,-11.0597,-127.7831,-2.6459,22.4594,27.6204,-27.8087,87.788,2183.0,6.3839999999999995,54.1156,17,1,Changeup,49
2017-04-05,85.6,3.1119,5.2056,1.7026,0.7694,3,-10.0388,-124.1428,-1.1247,19.5938,26.5144,-24.2831,85.015,1957.0,6.247999999999999,54.2515,17,2,Changeup,50
2017-04-05,79.8,3.1965,5.3476,-1.4040000000000001,-0.2804,3,-8.818999999999999,-115.7116,-3.822,-10.5395,23.0489,-34.1293,78.556,2186.0,5.766,54.7337,17,3,Slider,51
2017-04-05,85.3,3.2465,5.2198,1.9392,0.8096,4,-11.8107,-123.4437,-3.0489,22.1621,27.5567,-23.592,84.24600000000001,2149.0,6.182,54.3175,22,1,Changeup,52
2017-04-05,77.6,3.6503,5.336,-1.4758,-0.0649,4,-5.1687,-112.5679,0.153,-10.7431,23.7579,-33.0577,75.08800000000001,2425.0,4.99,55.5103,22,2,Slider,53
2017-04-05,81.1,3.1093,5.4436,-1.3719999999999999,-0.2895,4,-8.6352,-117.6218,-1.3066,-10.437999999999999,26.0661,-34.7726,79.62100000000001,2438.0,5.835,54.6648,22,3,Slider,54
2017-04-05,86.8,3.319,5.1633,1.8376,0.8052,4,-6.2268,-125.9823,-2.6958,20.6303,30.6725,-23.4135,85.59899999999999,2173.0,6.114,54.3856,22,4,Changeup,55
2017-04-05,95.4,3.1891,5.3285,1.4813,1.2655,4,-11.1005,-138.351,-5.4816,21.8052,35.7565,-14.8148,94.948,2410.0,6.577000000000001,53.9225,22,5,4-Seam Fastball,56
2017-04-05,82.3,3.2054,5.4188,-0.6970000000000001,-0.3098,4,-6.8223,-119.4832,-2.0464,-5.0534,25.9174,-34.8953,81.27,2521.0,6.005,54.4945,22,6,Slider,57
2017-04-05,86.2,3.4228,5.0452,1.7876,0.7388,4,-11.0829,-124.8903,-1.4880000000000002,21.0147,27.6167,-24.4081,85.57600000000001,2097.0,6.351,54.148999999999994,22,7,Changeup,58
2017-04-05,83.8,3.3131,5.0387,2.0024,0.7956,4,-9.5598,-121.4996,-0.5453,21.6944,27.5171,-24.5453,82.90799999999999,2075.0,6.254,54.2455,23,1,Changeup,59
2017-04-05,76.7,3.2221,5.3506,-1.455,-0.4138,4,-2.6283,-111.4404,1.598,-11.2901,23.6724,-36.1526,75.73899999999999,2023.0,6.091,54.4089,23,2,Slider,60
2017-04-05,79.0,3.0781,5.4062,-0.6822,0.0224,4,-5.263999999999999,-114.681,1.1601,-4.6431,25.9425,-32.5336,77.59,2313.0,5.935,54.5652,23,3,Slider,61
2017-04-05,87.1,3.4218,5.142,1.7536,0.5383,4,-7.7781,-126.3382,-1.8630000000000002,20.153,29.8239,-26.3819,85.78,2075.0,5.982,54.518,23,4,Changeup,62
2017-04-05,79.9,3.1937,5.3402,-1.1989,-0.5027,4,-6.4574,-116.0344,-0.7337,-9.1282,24.531999999999996,-36.6983,78.512,2345.0,5.721,54.7788,23,5,Slider,63
